title,author,date,content
[問卦] 目前房價是跌嗎,gswang (跟著王老師吃香喝辣),Wed Apr  8 22:48:02 2026,"是這樣的
最近股市上30000

但看到麗寶說要打七折預售

不對啊
房價不是只漲不跌嗎
到底是大家沒錢？
錢都在股市？
還是114年FOMO全新青安上車？
到底？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.136.135.208 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775659685.A.F41.html"
[問卦] 木村拓哉吃麵手肘撐桌又被日本網友靠北,f77928 (台灣人要自信),Wed Apr  8 22:48:16 2026,"之前木村牛丼廣告伸舌頭被批評
最近他YT吃蕎麥麵
https://i.mopix.cc/xuzoLz.jpg
這樣手肘靠著桌子也被嘴

留言區評論「用手肘撐著吃飯不太好吧」、「如果沒有撐手肘吃就很完美了」

日本人是不是有病？
無聊的規矩也太多了吧

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.215.239.176 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775659698.A.E57.html"
[問卦] 下屬: 陳X都可以請一年病假為何我不行?,v929598 (實感.手作廢文),Wed Apr  8 22:48:23 2026,"隔壁科有個問題人物 48歲女，單身

今年才4月休假已經用完了

一堆公文逾期沒處理

她拿出身心科就醫紀錄說自己有相關疾病 (憂鬱症 躁鬱症 妄想症)

想要請病假加上延長病假共2個月

但是她們主管說: 妳拿的是診所的紀錄，至少到大醫院就醫完開證明吧

該女對她們主管吼:  那個陳X 就可以請病假請一年，我只請2個月為什麼不行!!!



後來我沒聽到她們主管回什麼

如果你是主管要怎麼回?

--

有個美國人千辛萬苦集齊了七顆龍珠。
神龍華麗地出現!並用日文問他：”あなたは何を望む？”
美國人愣了愣：”can you speak english ? ”
神龍：”sure ~”
然後神龍就走了...

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 116.241.217.50 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775659707.A.AF6.html"
[新聞] 7成民意挺政府！賴清德再勸藍白「國防不,deathdecay (VOID),Wed Apr  8 22:50:19 2026,"民視新聞

記者 黃于庭

7成民意挺政府！賴清德再勸藍白「國防不打折」：台灣不是為了挑釁


為完成所謂「統一」目的，中國近年戮力以言語、武力恫嚇，並想方設法打壓台灣國際地
位；而我國則提高國防預算、延長義務役役期，以應對隨時可能來臨的威脅。對此，身兼
民進黨主席的總統賴清德今（8）日表示，經國防部充分評估，並與美方審慎討論，政府
提出8年1.25兆元的國防特別預算，也獲得國內超過7成民意的支持，呼籲立法院儘速通過
不打折的軍購案，向國際社會傳遞台灣捍衛民主自由的決心。

民進黨今日召開中執會，發言人吳崢會後轉述賴清德致詞。賴清德表示，本週五是《台灣
關係法》立法47周年，繼上週美國聯邦參議員跨黨派訪問團來台訪問，本週美國聯邦眾議
院「共和黨研究委員會」國家安全任務小組諾恩主席及班克斯參議員，也分別率團訪台，
以具體行動展現美國國會對台灣長期且堅定的支持。

賴清德強調，面對威權主義的威脅日益升高，在美國持續落實對台安全承諾的同時，台灣
更必須積極展現自我防衛的決心。為了強化台灣自我防衛能力，政府正有序地提升國防支
出，並提出8年1.25兆元的國防特別預算，希望建立有效的嚇阻力量。

至於行政院版本的國防特別預算條例草案，賴清德指出，是經過國防部充分評估，並與美
方審慎討論後，提出的專業規劃方案，也獲得國內超過7成民意的支持。他重申，「和平
無價、戰爭沒有贏家」，台灣提升國防不是挑釁，而是為了守護習以為常的民主自由生活
，唯有提升自我防衛實力，才能確保真正的和平。

「自助者人恆助之」，因此，賴清德呼籲立法院，儘速通過不打折的國防特別預算條例，
向國際社會清楚傳遞台灣捍衛民主自由的決心，以及維護區域和平穩定的承諾。

今年白沙屯媽祖往北港進香行程，將從4月12日深夜起駕，賴清德請進香路程可能經過的
地方黨部、黨公職，能踴躍提供適當場所，並在沿途設置物資補給點，讓參與的香燈腳們
能夠適時休憩歇腳。在這個重要的盛事，一起祈求媽祖保佑台灣，國泰民安、風調雨順，
也祝福在台灣的每一個人，永享民主自由的生活。



https://www.ftvnews.com.tw/news/detail/2026408W0329

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 111.251.168.226 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775659821.A.B03.html"
[問卦] 脆:賓夕法尼亞大學是野雞大學= =?,ThorFukt (托爾),Wed Apr  8 22:51:42 2026,"欸 我最近看脆在戰學歷啦

除了什麼台北國中小純血論以外

另一個在戰的是美國賓夕法尼亞大學 是野雞大學?


說台大法律>賓夕法尼亞大學法律

加州大學爾灣分校法律社會>賓夕法尼亞大學法律


可是我去查世界法學排名 賓夕法尼亞大學法律 都是前10~20名耶

另外兩個是什麼超強的隱藏法律系不在名單上的嗎?

有沒有法學鄉民可以解答的= =?

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 210.201.86.72 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775659904.A.1D2.html"
Re: [問卦] 台股暴漲1300點  是誰的功勞☺,zuvio (zz),Wed Apr  8 22:52:29 2026,"※ 引述《oppo5566 (5566)》之銘言：
: https://i.imgur.com/KATwJjr.jpeg
: 台股開盤後  直接跳空  暴衝上千點
: 現在漲幅已經來到了1300多點
: 台股這麼兇猛  請問功勞要算在誰頭上☺☺

剛剛股版說伊朗把沙特的油管打爆了

現在大家都在確認消息來源是不是正確的

如果是真的話

大家連最後1/3的石油都沒得用

明天少說會千點招待

所以真的不要高興太早

你永遠不知道瘋狗下一步會怎麼做

下輩子記得別惹到瘋狗

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 39.9.198.133 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775659951.A.CC7.html"
Re: [問卦] 女生為何願意陪8+9吃苦,CNseven (Maryyyyyyyy),Wed Apr  8 22:52:45 2026,"※ 引述《ikoy (？？？？)》之銘言：
: 小學會看到有那種小孩的爸爸
: 是個8+9
: 白天在工地上班，沒班去跑外送
: 然後媽媽白天在做清潔人員
: 2人做一些很底層的工作
: 可是年薪破百萬的工程師，想交
: 女友卻遇到詐騙
: 中產階級參加聯誼活動
: 女生聽到你沒車沒房就打你槍
: 而且100人，男生80人，女生20人
: 女生敢打你槍，因為還有其他條件好的人
: 女生為何願意陪8+9吃苦

不是願意陪8+9吃苦

是跑不掉了 離開不了了啦

而且這種事只會發生在尚未社會化的妹子身上



我大學有個同學 叫癡情男子漢

長的不怎麼樣 體重近百 但零用錢有點多

追班上一個叫萱萱的妹子

早上送早餐 下午送下午茶 晚上偶爾被萱萱那掛叫去當分母

聽萱萱說

打工搖飲料沒機車要搭公車很麻煩

直接送一台當年新款Many給代步

小萱MSN很慢才回 甚至不回 藉口說 不是不回 是電腦跑很慢

直接送一台電腦給她 不過之後也是沒再回

無怨無悔 但連手都沒摸到

後來

萱萱被一起搖飲料的8+9同事幹大肚子後休學

他才肯放棄


十三年過去了

看了臉書哀居 萱萱已變黃臉婆 變成三寶單親媽

三個小孩隔代教養丟給自己的爸媽顧

自己白天林園工業區 晚上餐廳打烊班


反觀我們家癡情男子漢

退伍後

民代爹爹直接讓他變農會約聘員佔爽缺

現在名片上印的是南部 西瓜黨縣市長候選人某鄉鎮區的主任

下下屆準備當議員 沒出包的話 估計可以連任到死



給25歲以上的妹子選

兩個人選擺在這裡

會有妹子選8+9嗎

不可能

絕對不可能

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.42.232 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775659967.A.1D7.html"
[問卦] 看到年輕少年董開法拉利保時捷通常是做,kamelot (),Wed Apr  8 22:54:43 2026,"臉書上常看到年輕少年董
曬車庫的保時捷
新簽法拉利曬鑰匙
還說想買小牛
手上PP表
背LV包
老婆年輕高瘦臉打一堆醫美
通常有小孩也常曬小孩
這種少年董都是怎麼賺錢的？
有人認識現實生活中的少年董嗎？

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.162.161.66 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775660085.A.9F9.html"
Re: [問卦] 大陸電子支付真的有那麼好嗎？,lpbrother (LP哥(LP = Love & Peace)),Wed Apr  8 22:54:54 2026,"剛google大陸電子支付使用大陸銀行

店家不用付手續費給平台

但是台灣的電子支付

通常都要抽2~3%的手續費給平台

就跟信用卡要抽%數一樣

另外大陸電子支付等同轉帳，

馬上就進入店家的戶頭

但是台灣的電子支付跟刷信用卡一樣

其實需要一陣子才會結算入帳到店家的戶頭

當然，透過第三方付款可以保障消費者的權益

只是對於商家來說，反而會出現周轉的問題

畢竟有些小店家進貨都是即時性要付款給供貨商。

鄉民會說店家也是電子銀行轉帳的方式不行嗎？

但是現在台灣轉帳，不同銀行與銀行之間大部分也要手續費

如果有五個供貨商，那就有可能有五間不同的銀行

不可能要求大家都使用同一間銀行

而且頻繁的轉來轉去，以現在政府對詐騙集團的金融監管來說

過沒多久店家跟供貨商的銀行帳戶可能就會被鎖了

然後又要去銀行解除鎖定，

只會更煩


大陸是怎麼做到頻繁操作，

帳戶又不會被鎖定，

的確是值得鄉民參考

※ 引述《er5820 (小鬼)》之銘言：
: 大陸電子支付有那麼神奇嗎？一堆小孩都沒看過紙鈔都是用電子支付，完全不知道紙錢的
: 用途，以為用手機就可以花錢買東西，萬一個資外洩民眾哇哇叫，反而在大陸沒有個資可
: 言，為什麼一定要大力推廣電子支付啊！

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.176.65.180 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775660096.A.BCE.html"
Re: [問卦] 香港必去的景點是哪裡==？,CenaC (王葛格加油!!),Wed Apr  8 22:56:00 2026,"迪士尼還是值得去的

雖然我認為豐富度、精緻度差東京的有點多

但是反而會放鬆心情在玩、在感受氣氛

而不是趕著排隊、快速通關

去就買點紀念品 好好逛逛吧

看表演必去！ 尤其是獅子王慶典

看表演比玩遊樂設施值得






→ derrick1220: 彌敦道9號                           118.233.1.101 04/08 20:16


我去尖沙嘴住的時候

才發現彌敦道9號是嘉賓大廈 一個商辦

那個剪頭髮的彌敦道9號

看網路資料說早期的確有在這個地址剪髮

後來就沒了

目前查到的彌敦道9號 有在剪髮的

店址在葵涌光輝里9號




另外

在香港吃早餐真的有夠貴的

品項也很單一

大多都是去冰室吃早餐

什麼牛油多士、方包、通粉、港式奶茶、鴛鴦、檸檬茶 差不多就這些

台灣早餐真的豐富多了 而且價格也算便宜

在香港一份早餐 一個喝的加一個多士

大概50幾塊港幣 換算大概200多塊台幣

短期嚐鮮還可以 吃個幾天肯定會膩

不過吃過幾家

餐廳程度好壞差滿多

別看態度論評價 我自己沒遇過態度差的店

但看其他人留言 態度差的不少  專注在挑食物品質吧

不然你會找不到店吃








另外就是港式飲茶

裡面一堆好評評論都是洗出來的

龍點心、瓏點心、點心到 基本上就是維持水準的店

但要說特別好吃倒是沒有 點心到在大眾點評、google評價五星都有送飲料

點點心真的算好吃的  在台灣都有店

我認為在台灣就能吃到好吃的港飲

尤其我會點蘿蔔糕、燒賣、蝦餃、腐皮卷、腸粉

用這幾項來評斷這家店的港飲功夫

吃完之後發覺其實應該不用特別去香港吃






維港算是滿不錯的

但比起外灘我覺得還差一點點

可能是維港距離對岸更遠的關係 沒有外灘這麼震撼

不知道為什麼

外灘還多了一種歷史氛圍

除了背後的萬國建築以外

從黃浦江吹來的風 都感覺有點陰森





去香港吃燒鵝就對了

記得很早就要去 店裡位置少 外面30幾個人就夠你等2小時

免得跟我一樣吃不到乳豬跟叉燒





去香港要吃雲吞

選麥文記吧  我吃過  這家值得被推薦

碗雖小  但送上來卻是整碗雲吞 很驚人

他們的雲吞非常有料 夠大、且裡面看起來包滿滿的蝦

經常咬一口後 沒咬到的雲吞裡還能掉出滿大顆的蝦出來

但乾撈麵我吃不習慣 好像在吃橡皮筋





聽說牛雜也都不錯

可惜太座不愛吃牛雜 只能說可惜了





香港大排檔水準還不錯

評價有四星以上的 基本上炒菜都有一定水準

有的菜色還吃的出鑊氣 菜品本身表現算強

我點過一份炒飯試他們功夫

炒飯粒粒分明、有鑊氣  很有水準







※ 引述《miss80423》之銘言
: 如題
: 欸欸
: 請問一下
: 第一次去香港
: 沒有去過
: 有什麼必推景點嗎
: 維多利亞港肯定的吧
: 還有什麼嗎
: 有必去景點或必吃的嗎
: ==
: 有卦？
: --
: 請支持國民女團TPE48 ><
: 第11張單曲 偷偷被你打敗
: https://i.imgur.com/VQH9OYz.jpeg



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.10.15.17 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/Gossiping/M.1775660162.A.A7A.html"
